Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Australia,3,33,Max Verstappen,Red Bull Racing Honda,4,58,+22.520,15,No
Australia,11,10,Pierre Gasly,Red Bull Racing Honda,17,57,+1 lap,0,No
Bahrain,4,33,Max Verstappen,Red Bull Racing Honda,5,57,+6.408,12,No
Bahrain,8,10,Pierre Gasly,Red Bull Racing Honda,13,57,+58.094,4,No
China,4,33,Max Verstappen,Red Bull Racing Honda,5,56,+27.627,12,No
China,6,10,Pierre Gasly,Red Bull Racing Honda,6,56,+89.307,9,Yes
Azerbaijan,4,33,Max Verstappen,Red Bull Racing Honda,4,51,+17.493,12,No
Azerbaijan,NC,10,Pierre Gasly,Red Bull Racing Honda,20,38,DNF,0,No
Spain,3,33,Max Verstappen,Red Bull Racing Honda,4,66,+7.679,15,No
Spain,6,10,Pierre Gasly,Red Bull Racing Honda,6,66,+19.576,8,No
Monaco,4,33,Max Verstappen,Red Bull Racing Honda,3,78,+5.537,12,No
Monaco,5,10,Pierre Gasly,Red Bull Racing Honda,8,78,+9.946,11,Yes
Canada,5,33,Max Verstappen,Red Bull Racing Honda,9,70,+57.655,10,No
Canada,8,10,Pierre Gasly,Red Bull Racing Honda,5,69,+1 lap,4,No
France,4,33,Max Verstappen,Red Bull Racing Honda,4,53,+34.905,12,No
France,10,10,Pierre Gasly,Red Bull Racing Honda,9,52,+1 lap,1,No
Austria,1,33,Max Verstappen,Red Bull Racing Honda,2,71,1:22:01.822,26,Yes
Austria,7,10,Pierre Gasly,Red Bull Racing Honda,8,70,+1 lap,6,No
Great Britain,4,10,Pierre Gasly,Red Bull Racing Honda,5,52,+34.692,12,No
Great Britain,5,33,Max Verstappen,Red Bull Racing Honda,4,52,+39.458,10,No
Germany,1,33,Max Verstappen,Red Bull Racing Honda,2,64,1:44:31.275,26,Yes
Germany,14,10,Pierre Gasly,Red Bull Racing Honda,4,61,DNF,0,No
Hungary,2,33,Max Verstappen,Red Bull Racing Honda,1,70,+17.796,19,Yes
Hungary,6,10,Pierre Gasly,Red Bull Racing Honda,6,69,+1 lap,8,No
Belgium,9,10,Pierre Gasly,Scuderia Toro Rosso Honda,13,44,+109.168,2,No
Belgium,NC,33,Max Verstappen,Red Bull Racing Honda,5,0,DNF,0,No
Italy,8,33,Max Verstappen,Red Bull Racing Honda,19,53,+74.492,4,No
Italy,11,10,Pierre Gasly,Scuderia Toro Rosso Honda,17,52,+1 lap,0,No
Singapore,3,33,Max Verstappen,Red Bull Racing Honda,4,61,+3.821,15,No
Singapore,8,10,Pierre Gasly,Scuderia Toro Rosso Honda,11,61,+15.547,4,No
Russia,4,33,Max Verstappen,Red Bull Racing Honda,9,53,+14.210,12,No
Russia,14,10,Pierre Gasly,Scuderia Toro Rosso Honda,16,53,+70.076,0,No
Japan,7,10,Pierre Gasly,Scuderia Toro Rosso Honda,9,51,+1 lap,6,No
Japan,NC,33,Max Verstappen,Red Bull Racing Honda,5,14,DNF,0,No
Mexico,6,33,Max Verstappen,Red Bull Racing Honda,4,71,+68.807,8,No
Mexico,9,10,Pierre Gasly,Scuderia Toro Rosso Honda,10,70,+1 lap,2,No
United States,3,33,Max Verstappen,Red Bull Racing Honda,3,56,+5.002,15,No
United States,16,10,Pierre Gasly,Scuderia Toro Rosso Honda,10,54,DNF,0,No
Brazil,1,33,Max Verstappen,Red Bull Racing Honda,1,71,1:33:14.678,25,No
Brazil,2,10,Pierre Gasly,Scuderia Toro Rosso Honda,6,71,+6.077,18,No
Abu Dhabi,2,33,Max Verstappen,Red Bull Racing Honda,2,55,+16.772,18,No
Abu Dhabi,18,10,Pierre Gasly,Scuderia Toro Rosso Honda,11,53,+2 laps,0,No
