Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Australia,3,33,Max Verstappen,Red Bull Racing Honda,4,58,+22.520,15,No
Australia,11,10,Pierre Gasly,Red Bull Racing Honda,17,57,+1 lap,0,No
Australia,13,11,Sergio Perez,Racing Point BWT Mercedes,10,57,+1 lap,0,No
Australia,14,23,Alexander Albon,Scuderia Toro Rosso Honda,13,57,+1 lap,0,No
Bahrain,4,33,Max Verstappen,Red Bull Racing Honda,5,57,+6.408,12,No
Bahrain,8,10,Pierre Gasly,Red Bull Racing Honda,13,57,+58.094,4,No
Bahrain,9,23,Alexander Albon,Scuderia Toro Rosso Honda,12,57,+62.697,2,No
Bahrain,10,11,Sergio Perez,Racing Point BWT Mercedes,14,57,+63.696,1,No
China,4,33,Max Verstappen,Red Bull Racing Honda,5,56,+27.627,12,No
China,6,10,Pierre Gasly,Red Bull Racing Honda,6,56,+89.307,9,Yes
China,8,11,Sergio Perez,Racing Point BWT Mercedes,12,55,+1 lap,4,No
China,10,23,Alexander Albon,Scuderia Toro Rosso Honda,20,55,+1 lap,1,No
Azerbaijan,4,33,Max Verstappen,Red Bull Racing Honda,4,51,+17.493,12,No
Azerbaijan,6,11,Sergio Perez,Racing Point BWT Mercedes,5,51,+76.416,8,No
Azerbaijan,11,23,Alexander Albon,Scuderia Toro Rosso Honda,11,50,+1 lap,0,No
Azerbaijan,NC,10,Pierre Gasly,Red Bull Racing Honda,20,38,DNF,0,No
Spain,3,33,Max Verstappen,Red Bull Racing Honda,4,66,+7.679,15,No
Spain,6,10,Pierre Gasly,Red Bull Racing Honda,6,66,+19.576,8,No
Spain,11,23,Alexander Albon,Scuderia Toro Rosso Honda,11,66,+35.445,0,No
Spain,15,11,Sergio Perez,Racing Point BWT Mercedes,15,66,+46.877,0,No
Monaco,4,33,Max Verstappen,Red Bull Racing Honda,3,78,+5.537,12,No
Monaco,5,10,Pierre Gasly,Red Bull Racing Honda,8,78,+9.946,11,Yes
Monaco,8,23,Alexander Albon,Scuderia Toro Rosso Honda,10,78,+55.200,4,No
Monaco,12,11,Sergio Perez,Racing Point BWT Mercedes,16,77,+1 lap,0,No
Canada,5,33,Max Verstappen,Red Bull Racing Honda,9,70,+57.655,10,No
Canada,8,10,Pierre Gasly,Red Bull Racing Honda,5,69,+1 lap,4,No
Canada,12,11,Sergio Perez,Racing Point BWT Mercedes,15,69,+1 lap,0,No
Canada,NC,23,Alexander Albon,Scuderia Toro Rosso Honda,13,59,DNF,0,No
France,4,33,Max Verstappen,Red Bull Racing Honda,4,53,+34.905,12,No
France,10,10,Pierre Gasly,Red Bull Racing Honda,9,52,+1 lap,1,No
France,12,11,Sergio Perez,Racing Point BWT Mercedes,14,52,+1 lap,0,No
France,15,23,Alexander Albon,Scuderia Toro Rosso Honda,11,52,+1 lap,0,No
Austria,1,33,Max Verstappen,Red Bull Racing Honda,2,71,1:22:01.822,26,Yes
Austria,7,10,Pierre Gasly,Red Bull Racing Honda,8,70,+1 lap,6,No
Austria,11,11,Sergio Perez,Racing Point BWT Mercedes,13,70,+1 lap,0,No
Austria,15,23,Alexander Albon,Scuderia Toro Rosso Honda,18,70,+1 lap,0,No
Great Britain,4,10,Pierre Gasly,Red Bull Racing Honda,5,52,+34.692,12,No
Great Britain,5,33,Max Verstappen,Red Bull Racing Honda,4,52,+39.458,10,No
Great Britain,12,23,Alexander Albon,Scuderia Toro Rosso Honda,9,52,+75.617,0,No
Great Britain,17,11,Sergio Perez,Racing Point BWT Mercedes,15,51,+1 lap,0,No
Germany,1,33,Max Verstappen,Red Bull Racing Honda,2,64,1:44:31.275,26,Yes
