Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Austria,7,10,Pierre Gasly,AlphaTauri Honda,12,71,+16.682,6,No
Austria,12,26,Daniil Kvyat,AlphaTauri Honda,13,69,DNF,0,No
Styria,10,26,Daniil Kvyat,AlphaTauri Honda,13,70,+1 lap,1,No
Styria,15,10,Pierre Gasly,AlphaTauri Honda,7,70,+1 lap,0,No
Hungary,12,26,Daniil Kvyat,AlphaTauri Honda,17,69,+1 lap,0,No
Hungary,NC,10,Pierre Gasly,AlphaTauri Honda,10,15,DNF,0,No
Great Britain,7,10,Pierre Gasly,AlphaTauri Honda,11,52,+31.188,6,No
Great Britain,NC,26,Daniil Kvyat,AlphaTauri Honda,19,11,DNF,0,No
70th Anniversary,10,26,Daniil Kvyat,AlphaTauri Honda,16,52,+69.669,1,No
70th Anniversary,11,10,Pierre Gasly,AlphaTauri Honda,7,52,+70.642,0,No
Spain,9,10,Pierre Gasly,AlphaTauri Honda,10,65,+1 lap,2,No
Spain,12,26,Daniil Kvyat,AlphaTauri Honda,12,65,+1 lap,0,No
Belgium,8,10,Pierre Gasly,AlphaTauri Honda,12,44,+47.371,4,No
Belgium,11,26,Daniil Kvyat,AlphaTauri Honda,11,44,+70.200,0,No
Italy,1,10,Pierre Gasly,AlphaTauri Honda,1,53,1:47:06.056,25,No
Italy,9,26,Daniil Kvyat,AlphaTauri Honda,11,53,+22.208,2,No
Tuscany,7,26,Daniil Kvyat,AlphaTauri Honda,12,59,+21.756,6,No
Tuscany,NC,10,Pierre Gasly,AlphaTauri Honda,16,0,DNF,0,No
Russia,8,26,Daniil Kvyat,AlphaTauri Honda,11,53,+68.740,4,No
Russia,9,10,Pierre Gasly,AlphaTauri Honda,9,53,+89.766,2,No
Eifel,6,10,Pierre Gasly,AlphaTauri Honda,12,60,+22.766,8,No
Eifel,15,26,Daniil Kvyat,AlphaTauri Honda,13,60,+55.588,0,No
Portugal,5,10,Pierre Gasly,AlphaTauri Honda,9,65,+1 lap,10,No
Portugal,19,26,Daniil Kvyat,AlphaTauri Honda,13,64,+2 laps,0,No
Emilia Romagna,4,26,Daniil Kvyat,AlphaTauri Honda,8,63,+15.141,12,No
Emilia Romagna,NC,10,Pierre Gasly,AlphaTauri Honda,4,8,DNF,0,No
Turkey,12,26,Daniil Kvyat,AlphaTauri Honda,16,57,+1 lap,0,No
Turkey,13,10,Pierre Gasly,AlphaTauri Honda,19,57,+1 lap,0,No
Bahrain,6,10,Pierre Gasly,AlphaTauri Honda,8,57,+11.942,8,No
Bahrain,11,26,Daniil Kvyat,AlphaTauri Honda,10,56,+1 lap,0,No
Sakhir,7,26,Daniil Kvyat,AlphaTauri Honda,6,87,+14.534,6,No
Sakhir,11,10,Pierre Gasly,AlphaTauri Honda,9,87,+20.527,0,No
Abu Dhabi,8,10,Pierre Gasly,AlphaTauri Honda,9,55,+89.718,4,No
Abu Dhabi,11,26,Daniil Kvyat,AlphaTauri Honda,7,54,+1 lap,0,No
