Track,Position,No,Driver,Team,Starting Grid,Laps,Total Time/Gap/Retirement,Points,Fastest Lap
Austria,6,11,Sergio Perez,Racing Point BWT Mercedes,6,71,+15.092,8,No
Austria,NC,18,Lance Stroll,Racing Point BWT Mercedes,9,20,DNF,0,No
Styria,6,11,Sergio Perez,Racing Point BWT Mercedes,17,71,+62.387,8,No
Styria,7,18,Lance Stroll,Racing Point BWT Mercedes,12,71,+62.453,6,No
Hungary,4,18,Lance Stroll,Racing Point BWT Mercedes,3,70,+57.579,12,No
Hungary,7,11,Sergio Perez,Racing Point BWT Mercedes,4,69,+1 lap,6,No
Great Britain,9,18,Lance Stroll,Racing Point BWT Mercedes,6,52,+37.311,2,No
70th Anniversary,6,18,Lance Stroll,Racing Point BWT Mercedes,6,52,+42.538,8,No
Spain,4,18,Lance Stroll,Racing Point BWT Mercedes,5,65,+1 lap,12,No
Spain,5,11,Sergio Perez,Racing Point BWT Mercedes,4,65,+1 lap,10,No
Belgium,9,18,Lance Stroll,Racing Point BWT Mercedes,9,44,+52.603,2,No
Belgium,10,11,Sergio Perez,Racing Point BWT Mercedes,8,44,+53.179,1,No
Italy,3,18,Lance Stroll,Racing Point BWT Mercedes,8,53,+3.358,15,No
Italy,10,11,Sergio Perez,Racing Point BWT Mercedes,4,53,+23.224,1,No
Tuscany,5,11,Sergio Perez,Racing Point BWT Mercedes,7,59,+15.650,10,No
Tuscany,NC,18,Lance Stroll,Racing Point BWT Mercedes,6,42,DNF,0,No
Russia,4,11,Sergio Perez,Racing Point BWT Mercedes,4,53,+30.558,12,No
Russia,NC,18,Lance Stroll,Racing Point BWT Mercedes,12,0,DNF,0,No
Eifel,4,11,Sergio Perez,Racing Point BWT Mercedes,9,60,+16.070,12,No
Portugal,7,11,Sergio Perez,Racing Point BWT Mercedes,5,65,+1 lap,6,No
Portugal,NC,18,Lance Stroll,Racing Point BWT Mercedes,12,51,DNF,0,No
Emilia Romagna,6,11,Sergio Perez,Racing Point BWT Mercedes,11,63,+19.652,8,No
Emilia Romagna,13,18,Lance Stroll,Racing Point BWT Mercedes,15,63,+29.163,0,No
Turkey,2,11,Sergio Perez,Racing Point BWT Mercedes,3,58,+31.633,18,No
Turkey,9,18,Lance Stroll,Racing Point BWT Mercedes,1,58,+72.353,2,No
Bahrain,18,11,Sergio Perez,Racing Point BWT Mercedes,5,53,DNF,0,No
Bahrain,NC,18,Lance Stroll,Racing Point BWT Mercedes,13,2,DNF,0,No
Sakhir,1,11,Sergio Perez,Racing Point BWT Mercedes,5,87,1:31:15.114,25,No
Sakhir,3,18,Lance Stroll,Racing Point BWT Mercedes,10,87,+11.869,15,No
Abu Dhabi,10,18,Lance Stroll,Racing Point BWT Mercedes,8,55,+102.738,1,No
Abu Dhabi,NC,11,Sergio Perez,Racing Point BWT Mercedes,19,8,DNF,0,No
