Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,+1 Pt,Fastest Lap
Bahrain,13,23,Alexander Albon,Williams Mercedes,14,57,+53.932,0,No,1:37.355
Bahrain,18,11,Sergio Perez,Red Bull Racing RBPT,4,56,DNF,0,No,1:36.089
Bahrain,19,1,Max Verstappen,Red Bull Racing RBPT,2,54,DNF,0,No,1:35.440
Bahrain,NC,10,Pierre Gasly,AlphaTauri RBPT,10,44,DNF,0,No,1:37.324
Saudi Arabia,1,1,Max Verstappen,Red Bull Racing RBPT,4,50,1:24:19.293,25,No,1:31.772
Saudi Arabia,4,11,Sergio Perez,Red Bull Racing RBPT,1,50,+10.800,12,No,1:32.042
Saudi Arabia,8,10,Pierre Gasly,AlphaTauri RBPT,9,50,+62.946,4,No,1:33.468
Saudi Arabia,14,23,Alexander Albon,Williams Mercedes,16,47,DNF,0,No,1:34.368
Australia,2,11,Sergio Perez,Red Bull Racing RBPT,3,58,+20.524,18,No,1:21.094
Australia,9,10,Pierre Gasly,AlphaTauri RBPT,11,58,+76.221,2,No,1:22.731
Australia,10,23,Alexander Albon,Williams Mercedes,20,58,+79.382,1,No,1:22.589
Australia,NC,1,Max Verstappen,Red Bull Racing RBPT,2,38,DNF,0,No,1:21.677
Emilia Romagna,1,1,Max Verstappen,Red Bull Racing RBPT,1,63,1:32:07.986,26,Yes,1:18.446
Emilia Romagna,2,11,Sergio Perez,Red Bull Racing RBPT,3,63,+16.527,18,No,1:18.949
Emilia Romagna,11,23,Alexander Albon,Williams Mercedes,18,62,+1 lap,0,No,1:21.757
Emilia Romagna,12,10,Pierre Gasly,AlphaTauri RBPT,17,62,+1 lap,0,No,1:21.713
Miami,1,1,Max Verstappen,Red Bull Racing RBPT,3,57,1:34:24.258,26,Yes,1:31.361
Miami,4,11,Sergio Perez,Red Bull Racing RBPT,4,57,+10.638,12,No,1:31.819
Miami,9,23,Alexander Albon,Williams Mercedes,18,57,+32.365,2,No,1:33.447
Miami,NC,10,Pierre Gasly,AlphaTauri RBPT,7,45,DNF,0,No,1:34.487
Spain,1,1,Max Verstappen,Red Bull Racing RBPT,2,66,1:37:20.475,25,No,1:25.456
Spain,2,11,Sergio Perez,Red Bull Racing RBPT,5,66,+13.072,19,Yes,1:24.108
Spain,13,10,Pierre Gasly,AlphaTauri RBPT,14,65,+1 lap,0,No,1:26.987
Spain,18,23,Alexander Albon,Williams Mercedes,18,64,+2 laps,0,No,1:28.281
Monaco,1,11,Sergio Perez,Red Bull Racing RBPT,3,64,1:56:30.265,25,No,1:16.028
Monaco,3,1,Max Verstappen,Red Bull Racing RBPT,4,64,+1.491,15,No,1:16.052
Monaco,11,10,Pierre Gasly,AlphaTauri RBPT,17,64,+54.289,0,No,1:17.344
Monaco,NC,23,Alexander Albon,Williams Mercedes,16,48,DNF,0,No,1:18.023
Azerbaijan,1,1,Max Verstappen,Red Bull Racing RBPT,3,51,1:34:05.941,25,No,1:46.050
Azerbaijan,2,11,Sergio Perez,Red Bull Racing RBPT,2,51,+20.823,19,Yes,1:46.046
Azerbaijan,5,10,Pierre Gasly,AlphaTauri RBPT,6,51,+77.299,10,No,1:48.519
Azerbaijan,12,23,Alexander Albon,Williams Mercedes,17,50,+1 lap,0,No,1:47.966
Canada,1,1,Max Verstappen,Red Bull Racing RBPT,1,70,1:36:21.757,25,No,1:15.839
Canada,13,23,Alexander Albon,Williams Mercedes,12,70,+44.893,0,No,1:17.951
Canada,14,10,Pierre Gasly,AlphaTauri RBPT,15,70,+45.183,0,No,1:17.810
Canada,NC,11,Sergio Perez,Red Bull Racing RBPT,13,7,DNF,0,No,1:18.844
Great Britain,2,11,Sergio Perez,Red Bull Racing RBPT,4,52,+3.779,18,No,1:30.937
Great Britain,7,1,Max Verstappen,Red Bull Racing RBPT,2,52,+18.777,6,No,1:32.354
Great Britain,NC,10,Pierre Gasly,AlphaTauri RBPT,11,26,DNF,0,No,1:34.614
Great Britain,NC,23,Alexander Albon,Williams Mercedes,16,0,DNF,0,No,
Austria,2,1,Max Verstappen,Red Bull Racing RBPT,1,71,+1.532,19,Yes,1:07.275
Austria,12,23,Alexander Albon,Williams Mercedes,15,70,+1 lap,0,No,1:09.669
Austria,15,10,Pierre Gasly,AlphaTauri RBPT,14,70,+1 lap,0,No,1:10.104
Austria,NC,11,Sergio Perez,Red Bull Racing RBPT,5,24,DNF,0,No,1:11.843
France,1,1,Max Verstappen,Red Bull Racing RBPT,2,53,1:30:02.112,25,No,1:37.491
France,4,11,Sergio Perez,Red Bull Racing RBPT,3,53,+17.310,12,No,1:37.780
France,12,10,Pierre Gasly,AlphaTauri RBPT,14,53,+65.448,0,No,1:38.786
France,13,23,Alexander Albon,Williams Mercedes,13,53,+68.565,0,No,1:39.199
Hungary,1,1,Max Verstappen,Red Bull Racing RBPT,10,70,1:39:25.912,25,No,1:22.126
Hungary,5,11,Sergio Perez,Red Bull Racing RBPT,11,70,+15.688,10,No,1:21.940
Hungary,12,10,Pierre Gasly,AlphaTauri RBPT,20,69,+1 lap,0,No,1:23.199
Hungary,17,23,Alexander Albon,Williams Mercedes,17,69,+1 lap,0,No,1:23.047
Belgium,1,1,Max Verstappen,Red Bull Racing RBPT,14,44,1:25:52.894,26,Yes,1:49.354
Belgium,2,11,Sergio Perez,Red Bull Racing RBPT,2,44,+17.841,18,No,1:50.764
Belgium,9,10,Pierre Gasly,AlphaTauri RBPT,8,44,+92.181,2,No,1:53.002
Belgium,10,23,Alexander Albon,Williams Mercedes,6,44,+101.900,1,No,1:53.055
Netherlands,1,1,Max Verstappen,Red Bull Racing RBPT,1,72,1:36:42.773,26,Yes,1:13.652
Netherlands,5,11,Sergio Perez,Red Bull Racing RBPT,5,72,+18.168,10,No,1:14.404
Netherlands,11,10,Pierre Gasly,AlphaTauri RBPT,11,72,+27.009,0,No,1:15.165
Netherlands,12,23,Alexander Albon,Williams Mercedes,15,72,+30.390,0,No,1:15.534
Italy,1,1,Max Verstappen,Red Bull Racing RBPT,7,53,1:20:27.511,25,No,1:24.745
Italy,6,11,Sergio Perez,Red Bull Racing RBPT,13,53,+6.091,9,Yes,1:24.030
Italy,8,10,Pierre Gasly,AlphaTauri RBPT,5,53,+6.396,4,No,1:26.718
Singapore,1,11,Sergio Perez,Red Bull Racing RBPT,2,59,2:02:20.238,25,No,1:48.165
Singapore,7,1,Max Verstappen,Red Bull Racing RBPT,8,59,+58.825,6,No,1:49.142
Singapore,10,10,Pierre Gasly,AlphaTauri RBPT,7,59,+69.576,1,No,1:50.569
Singapore,NC,23,Alexander Albon,Williams Mercedes,18,25,DNF,0,No,2:02.121
Japan,1,1,Max Verstappen,Red Bull Racing RBPT,1,28,3:01:44.004,25,No,1:44.911
Japan,2,11,Sergio Perez,Red Bull Racing RBPT,4,28,+27.066,18,No,1:46.120
Japan,18,10,Pierre Gasly,AlphaTauri RBPT,20,28,+108.091,0,No,1:45.387
Japan,NC,23,Alexander Albon,Williams Mercedes,16,0,DNF,0,No,
United States,1,1,Max Verstappen,Red Bull Racing RBPT,2,56,1:42:11.687,25,No,1:39.541
United States,4,11,Sergio Perez,Red Bull Racing RBPT,9,56,+8.293,12,No,1:39.563
United States,13,23,Alexander Albon,Williams Mercedes,8,56,+80.057,0,No,1:42.471
United States,14,10,Pierre Gasly,AlphaTauri RBPT,11,56,+81.763,0,No,1:41.674
Mexico,1,1,Max Verstappen,Red Bull Racing RBPT,1,71,1:38:36.729,25,No,1:22.046
Mexico,3,11,Sergio Perez,Red Bull Racing RBPT,4,71,+18.097,15,No,1:21.775
Mexico,11,10,Pierre Gasly,AlphaTauri RBPT,14,70,+1 lap,0,No,1:22.277
Mexico,12,23,Alexander Albon,Williams Mercedes,17,70,+1 lap,0,No,1:22.914
Brazil,6,1,Max Verstappen,Red Bull Racing RBPT,3,71,+10.056,8,No,1:14.195
Brazil,7,11,Sergio Perez,Red Bull Racing RBPT,4,71,+14.080,6,No,1:14.283
Brazil,14,10,Pierre Gasly,AlphaTauri RBPT,10,71,+31.867,0,No,1:15.327
Brazil,15,23,Alexander Albon,Williams Mercedes,19,71,+36.016,0,No,1:15.613
Abu Dhabi,1,1,Max Verstappen,Red Bull Racing RBPT,1,58,1:27:45.914,25,No,1:29.392
Abu Dhabi,3,11,Sergio Perez,Red Bull Racing RBPT,2,58,+10.093,15,No,1:28.972
Abu Dhabi,13,23,Alexander Albon,Williams Mercedes,19,57,+1 lap,0,No,1:29.939
Abu Dhabi,14,10,Pierre Gasly,AlphaTauri RBPT,17,57,+1 lap,0,No,1:31.081
