Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,Set Fastest Lap,Fastest Lap Time
Bahrain,10,23,Alexander Albon,Williams Mercedes,15,57,+89.774,1,No,1:37.144
Bahrain,12,2,Logan Sargeant,Williams Mercedes,16,56,+1 lap,0,No,1:36.037
Saudi Arabia,16,2,Logan Sargeant,Williams Mercedes,20,50,+86.293,0,No,1:34.469
Saudi Arabia,NC,23,Alexander Albon,Williams Mercedes,17,27,DNF,0,No,1:35.567
Australia,16,2,Logan Sargeant,Williams Mercedes,18,56,DNF,0,No,1:21.456
Australia,NC,23,Alexander Albon,Williams Mercedes,8,6,DNF,0,No,1:23.349
Azerbaijan,12,23,Alexander Albon,Williams Mercedes,12,51,+88.623,0,No,1:45.925
Azerbaijan,16,2,Logan Sargeant,Williams Mercedes,14,51,+100.943,0,No,1:46.501
Miami,14,23,Alexander Albon,Williams Mercedes,11,57,+72.861,0,No,1:31.852
Miami,20,2,Logan Sargeant,Williams Mercedes,20,56,+1 lap,0,No,1:32.384
Monaco,14,23,Alexander Albon,Williams Mercedes,13,77,+1 lap,0,No,1:16.672
Monaco,18,2,Logan Sargeant,Williams Mercedes,16,76,+2 laps,0,No,1:17.302
Spain,16,23,Alexander Albon,Williams Mercedes,18,65,+1 lap,0,No,1:19.133
Spain,20,2,Logan Sargeant,Williams Mercedes,20,65,+1 lap,0,No,1:19.247
Canada,7,23,Alexander Albon,Williams Mercedes,9,70,+60.813,6,No,1:16.917
Canada,NC,2,Logan Sargeant,Williams Mercedes,18,6,DNF,0,No,1:18.437
Austria,11,23,Alexander Albon,Williams Mercedes,10,71,+79.767,0,No,1:09.560
Austria,13,2,Logan Sargeant,Williams Mercedes,18,70,+1 lap,0,No,1:09.611
Great Britain,8,23,Alexander Albon,Williams Mercedes,8,52,+17.878,4,No,1:31.273
Great Britain,11,2,Logan Sargeant,Williams Mercedes,14,52,+23.632,0,No,1:31.699
Hungary,11,23,Alexander Albon,Williams Mercedes,16,69,+1 lap,0,No,1:24.051
Hungary,18,2,Logan Sargeant,Williams Mercedes,20,67,DNF,0,No,1:23.496
Belgium,14,23,Alexander Albon,Williams Mercedes,15,44,+96.184,0,No,1:49.841
Belgium,17,2,Logan Sargeant,Williams Mercedes,18,44,+104.476,0,No,1:50.486
Netherlands,8,23,Alexander Albon,Williams Mercedes,4,72,+15.155,4,No,1:14.468
Netherlands,NC,2,Logan Sargeant,Williams Mercedes,10,14,DNF,0,No,1:17.399
Italy,7,23,Alexander Albon,Williams Mercedes,6,51,+45.106,6,No,1:26.389
Italy,13,2,Logan Sargeant,Williams Mercedes,15,51,+78.557,0,No,1:26.840
Singapore,11,23,Alexander Albon,Williams Mercedes,14,62,+73.417,0,No,1:37.342
Singapore,14,2,Logan Sargeant,Williams Mercedes,18,62,+86.889,0,No,1:38.531
Japan,NC,23,Alexander Albon,Williams Mercedes,13,26,DNF,0,No,1:39.185
Japan,NC,2,Logan Sargeant,Williams Mercedes,20,22,DNF,0,No,1:38.848
Qatar,13,23,Alexander Albon,Williams Mercedes,13,57,+91.014,0,No,1:26.666
Qatar,NC,2,Logan Sargeant,Williams Mercedes,15,40,DNF,0,No,1:27.983
United States,9,23,Alexander Albon,Williams Mercedes,15,56,+86.714,2,No,1:41.371
United States,10,2,Logan Sargeant,Williams Mercedes,16,56,+87.998,1,No,1:41.238
Mexico,9,23,Alexander Albon,Williams Mercedes,14,71,+48.573,2,No,1:22.773
Mexico,16,2,Logan Sargeant,Williams Mercedes,19,70,DNF,0,No,1:23.003
Brazil,11,2,Logan Sargeant,Williams Mercedes,19,70,+1 lap,0,No,1:15.738
Brazil,NC,23,Alexander Albon,Williams Mercedes,13,0,DNF,0,No,
Las Vegas,12,23,Alexander Albon,Williams Mercedes,5,50,+43.398,0,No,1:37.357
Las Vegas,16,2,Logan Sargeant,Williams Mercedes,6,50,+50.882,0,No,1:37.740
Abu Dhabi,14,23,Alexander Albon,Williams Mercedes,14,58,+73.184,0,No,1:27.845
Abu Dhabi,16,2,Logan Sargeant,Williams Mercedes,20,58,+87.791,0,No,1:28.580
