constructorResultsId,raceId,constructorId,points,status,name_x,year,constructorRef
16881,1120,6,18.0,\N,Abu Dhabi Grand Prix,2023,ferrari
15852,1010,6,22.0,\N,Australian Grand Prix,2019,ferrari
15861,1011,6,26.0,\N,Bahrain Grand Prix,2019,ferrari
15871,1012,6,25.0,\N,Chinese Grand Prix,2019,ferrari
15881,1013,6,26.0,\N,Azerbaijan Grand Prix,2019,ferrari
15892,1014,6,22.0,\N,Spanish Grand Prix,2019,ferrari
15901,1015,6,18.0,\N,Monaco Grand Prix,2019,ferrari
15911,1016,6,33.0,\N,Canadian Grand Prix,2019,ferrari
15921,1017,6,26.0,\N,French Grand Prix,2019,ferrari
15931,1018,6,30.0,\N,Austrian Grand Prix,2019,ferrari
15941,1019,6,15.0,\N,British Grand Prix,2019,ferrari
15951,1020,6,18.0,\N,German Grand Prix,2019,ferrari
15962,1021,6,27.0,\N,Hungarian Grand Prix,2019,ferrari
15970,1022,6,38.0,\N,Belgian Grand Prix,2019,ferrari
15980,1023,6,25.0,\N,Italian Grand Prix,2019,ferrari
15990,1024,6,43.0,\N,Singapore Grand Prix,2019,ferrari
16001,1025,6,15.0,\N,Russian Grand Prix,2019,ferrari
16011,1026,6,26.0,\N,Japanese Grand Prix,2019,ferrari
16021,1027,6,31.0,\N,Mexican Grand Prix,2019,ferrari
16032,1028,6,13.0,\N,United States Grand Prix,2019,ferrari
16049,1029,6,0.0,\N,Brazilian Grand Prix,2019,ferrari
16052,1030,6,25.0,\N,Abu Dhabi Grand Prix,2019,ferrari
16061,1031,6,19.0,\N,Austrian Grand Prix,2020,ferrari
16079,1032,6,0.0,\N,Styrian Grand Prix,2020,ferrari
16083,1033,6,8.0,\N,Hungarian Grand Prix,2020,ferrari
16092,1034,6,16.0,\N,British Grand Prix,2020,ferrari
16102,1035,6,12.0,\N,70th Anniversary Grand Prix,2020,ferrari
16114,1036,6,6.0,\N,Spanish Grand Prix,2020,ferrari
16127,1037,6,0.0,\N,Belgian Grand Prix,2020,ferrari
16139,1038,6,0.0,\N,Italian Grand Prix,2020,ferrari
16146,1039,6,5.0,\N,Tuscan Grand Prix,2020,ferrari
16154,1040,6,8.0,\N,Russian Grand Prix,2020,ferrari
16166,1041,6,6.0,\N,Eifel Grand Prix,2020,ferrari
16172,1042,6,13.0,\N,Portuguese Grand Prix,2020,ferrari
16183,1043,6,10.0,\N,Emilia Romagna Grand Prix,2020,ferrari
16192,1044,6,27.0,\N,Turkish Grand Prix,2020,ferrari
16205,1045,6,1.0,\N,Bahrain Grand Prix,2020,ferrari
16216,1046,6,0.0,\N,Sakhir Grand Prix,2020,ferrari
16227,1047,6,0.0,\N,Abu Dhabi Grand Prix,2020,ferrari
16233,1052,6,12.0,\N,Bahrain Grand Prix,2021,ferrari
16243,1053,6,22.0,\N,Emilia Romagna Grand Prix,2021,ferrari
16253,1054,6,8.0,\N,Portuguese Grand Prix,2021,ferrari
16262,1055,6,18.0,\N,Spanish Grand Prix,2021,ferrari
16270,1056,6,18.0,\N,Monaco Grand Prix,2021,ferrari
16283,1057,6,16.0,\N,Azerbaijan Grand Prix,2021,ferrari
16296,1059,6,0.0,\N,French Grand Prix,2021,ferrari
16303,1058,6,14.0,\N,Styrian Grand Prix,2021,ferrari
16313,1060,6,14.0,\N,Austrian Grand Prix,2021,ferrari
16321,1061,6,26.0,\N,British Grand Prix,2021,ferrari
16333,1062,6,15.0,\N,Hungarian Grand Prix,2021,ferrari
16347,1063,6,2.5,\N,Belgian Grand Prix,2021,ferrari
16353,1064,6,16.0,\N,Dutch Grand Prix,2021,ferrari
16362,1065,6,20.0,\N,Italian Grand Prix,2021,ferrari
16372,1066,6,15.0,\N,Russian Grand Prix,2021,ferrari
16382,1067,6,16.0,\N,Turkish Grand Prix,2021,ferrari
16392,1069,6,18.0,\N,United States Grand Prix,2021,ferrari
16403,1070,6,18.0,\N,Mexico City Grand Prix,2021,ferrari
16412,1071,6,19.0,\N,São Paulo Grand Prix,2021,ferrari
16424,1051,6,10.0,\N,Qatar Grand Prix,2021,ferrari
16435,1072,6,10.0,\N,Saudi Arabian Grand Prix,2021,ferrari
16442,1073,6,16.0,\N,Abu Dhabi Grand Prix,2021,ferrari
16450,1074,6,44.0,\N,Bahrain Grand Prix,2022,ferrari
16461,1075,6,34.0,\N,Saudi Arabian Grand Prix,2022,ferrari
16470,1076,6,26.0,\N,Australian Grand Prix,2022,ferrari
16484,1077,6,20.0,\N,Emilia Romagna Grand Prix,2022,ferrari
16491,1078,6,33.0,\N,Miami Grand Prix,2022,ferrari
16502,1079,6,12.0,\N,Spanish Grand Prix,2022,ferrari
16511,1080,6,30.0,\N,Monaco Grand Prix,2022,ferrari
16529,1081,6,0.0,\N,Azerbaijan Grand Prix,2022,ferrari
16531,1082,6,29.0,\N,Canadian Grand Prix,2022,ferrari
16540,1083,6,37.0,\N,British Grand Prix,2022,ferrari
16550,1084,6,38.0,\N,Austrian Grand Prix,2022,ferrari
16562,1085,6,11.0,\N,French Grand Prix,2022,ferrari
16572,1086,6,20.0,\N,Hungarian Grand Prix,2022,ferrari
16581,1087,6,23.0,\N,Belgian Grand Prix,2022,ferrari
16592,1088,6,19.0,\N,Dutch Grand Prix,2022,ferrari
16601,1089,6,30.0,\N,Italian Grand Prix,2022,ferrari
16611,1091,6,33.0,\N,Singapore Grand Prix,2022,ferrari
16621,1092,6,15.0,\N,Japanese Grand Prix,2022,ferrari
16632,1093,6,15.0,\N,United States Grand Prix,2022,ferrari
16642,1094,6,18.0,\N,Mexico City Grand Prix,2022,ferrari
16651,1095,6,37.0,\N,São Paulo Grand Prix,2022,ferrari
16661,1096,6,30.0,\N,Abu Dhabi Grand Prix,2022,ferrari
16672,1098,6,12.0,\N,Bahrain Grand Prix,2023,ferrari
16683,1099,6,14.0,\N,Saudi Arabian Grand Prix,2023,ferrari
16697,1100,6,0.0,\N,Australian Grand Prix,2023,ferrari
16701,1101,6,36.0,\N,Azerbaijan Grand Prix,2023,ferrari
16713,1102,6,16.0,\N,Miami Grand Prix,2023,ferrari
16724,1104,6,12.0,\N,Monaco Grand Prix,2023,ferrari
16732,1105,6,10.0,\N,Spanish Grand Prix,2023,ferrari
16743,1106,6,22.0,\N,Canadian Grand Prix,2023,ferrari
16751,1107,6,32.0,\N,Austrian Grand Prix,2023,ferrari
16765,1108,6,3.0,\N,British Grand Prix,2023,ferrari
16773,1109,6,10.0,\N,Hungarian Grand Prix,2023,ferrari
16781,1110,6,24.0,\N,Belgian Grand Prix,2023,ferrari
16793,1111,6,10.0,\N,Dutch Grand Prix,2023,ferrari
16801,1112,6,27.0,\N,Italian Grand Prix,2023,ferrari
16810,1113,6,37.0,\N,Singapore Grand Prix,2023,ferrari
16822,1114,6,20.0,\N,Japanese Grand Prix,2023,ferrari
16833,1115,6,13.0,\N,Qatar Grand Prix,2023,ferrari
16842,1116,6,24.0,\N,United States Grand Prix,2023,ferrari
16852,1117,6,27.0,\N,Mexico City Grand Prix,2023,ferrari
16863,1118,6,13.0,\N,São Paulo Grand Prix,2023,ferrari
16871,1119,6,26.0,\N,Las Vegas Grand Prix,2023,ferrari
16891,1121,6,27.0,\N,Bahrain Grand Prix,2024,ferrari
16901,1122,6,22.0,\N,Saudi Arabian Grand Prix,2024,ferrari
16910,1123,6,44.0,\N,Australian Grand Prix,2024,ferrari
16921,1124,6,27.0,\N,Japanese Grand Prix,2024,ferrari
16932,1125,6,31.0,\N,Chinese Grand Prix,2024,ferrari
16942,1126,6,36.0,\N,Miami Grand Prix,2024,ferrari
16952,1127,6,25.0,\N,Emilia Romagna Grand Prix,2024,ferrari
16960,1128,6,40.0,\N,Monaco Grand Prix,2024,ferrari
16978,1129,6,0.0,\N,Canadian Grand Prix,2024,ferrari
16983,1130,6,18.0,\N,Spanish Grand Prix,2024,ferrari
16992,1131,6,21.0,\N,Austrian Grand Prix,2024,ferrari
17003,1132,6,11.0,\N,British Grand Prix,2024,ferrari
16880,1120,9,38.0,\N,Abu Dhabi Grand Prix,2023,red_bull
15851,1010,9,15.0,\N,Australian Grand Prix,2019,red_bull
15862,1011,9,16.0,\N,Bahrain Grand Prix,2019,red_bull
15872,1012,9,21.0,\N,Chinese Grand Prix,2019,red_bull
15882,1013,9,12.0,\N,Azerbaijan Grand Prix,2019,red_bull
15891,1014,9,23.0,\N,Spanish Grand Prix,2019,red_bull
15902,1015,9,23.0,\N,Monaco Grand Prix,2019,red_bull
15912,1016,9,14.0,\N,Canadian Grand Prix,2019,red_bull
15922,1017,9,13.0,\N,French Grand Prix,2019,red_bull
15930,1018,9,32.0,\N,Austrian Grand Prix,2019,red_bull
15942,1019,9,22.0,\N,British Grand Prix,2019,red_bull
15950,1020,9,26.0,\N,German Grand Prix,2019,red_bull
15961,1021,9,27.0,\N,Hungarian Grand Prix,2019,red_bull
